"CP General","Général"
"CP General Settings","Paramètres généraux"
"CP Activate backendnews?","Activer les informations de Backend?"
"CP Should the IP for API access be checked?","L'IP de l'accès API doit-il être vérifié?"
"CP Articlenumber","Numéro de l'article"
"CP This applies to the tracking as well as the marketplace integration or the repricing.","Ceci vaut pour le Tracking mais aussi pour l'intégration aux places de marché et pour le Repricing"

"CP Tracking","Tracking"
"CP Tracking Settings","Paramètres du Tracking"
"CP Cookiemode","Mode du cookie"
"CP Trackingkeys","Clés de Tracking"
"CP Shop","E-boutique"
"CP TrackingKey","Clé de Tracking"

"CP Data Feed Export","Exportation"
"CP Export Settings","Configuration de l'exportation"
"CP Password","Mot de passe"
"CP Protect your data feed with a password. For example: 'www.testshop.com/channelpilot?password=12345'","Protégez votre flux de données grâce à un mot de passe. Par exemple : 'www.testshop.com/channelpilot?password=12345'"
"CP Select data fields","Choisir un champ de données"
"CP Data field","Champ de données"
"CP Select the data fields you want to provide on ChannelPilot. Some product attributes are always included. (Entity_Id, Sku, name, description, price, manufacturer, color, categories, product_url, image_url, additional_image_1, additional_image_2, additional_image_3, weight)","Sélectionnez le champ de données que vous souhaitez apporter à ChannelPilot. Certains champs de données sont toujours compris dans le catalogue de produit. (Entity_Id, Sku, name, description, price, manufacturer, color, categories, product_url, image_url, additional_image_1, additional_image_2, additional_image_3, weight)"
"CP Create static data fields","Créer des champs de données stratistiques"
"CP Data field name","Nom des champs de données"
"CP Data field value","Valeur des champs de données"
"CP Set up additional data fields. These fields have for every product the same value. E.g. for additional delivery costs.","Créer des champs de données supplémentaires. Chaque produit de ces champs ont la même valeur, par exemple, pour les frais de port."
"CP Product variant data fields","Adapter le champ de données des produits variants"
"CP Select the data fields you want to be overwritten by the respective value of the parent article.","Choissiez le champ de données, qui doivent être intituler comme les champs des données des articles parents."
"CP Number additional productimages","Número de imágenes adicionales"
"CP How many additional productimages should be exported?","Combien d’images supplémentaires du produit doivent être exportés ?"

"CP Marketplace Integration","Connexion aux places de marché"
"CP Marketplace Integration Settings","Paramètres de connexion aux places de marché"

"CP Repricing","Repricing"
"CP Repricing Settings","Paramètres de Repricing"
"CP General Repricing","Repricing général"
"CP Field for price","Champ de prix"
"CP This field would be overwritten by the new product price.","Ce champ de prix sera remplacé par le nouveau prix."
"CP Save prices net or gross?","Prix à enregistrer nets ou bruts ?"

"CP ChannelPilot-Payment","Paiement ChannelPilot"
"CP !!!This is no real payment method!!!","!!! Ceci n'est pas un vrai moyen de paiement !!!"
"CP Title","Titre"
"CP Order Status","Statut de la commande"
"CP Payment Types","Moyens de paiement"

"CP Activate?","Activer ?"
"CP Add","Ajouter"
"CP Delete","Supprimer"
"CP OrderStatus Imported (payed)?","Le statut de l’offre a-t-il été importé (payé) ?"
"CP OrderStatus Imported (unpayed)?","Le statut de l’offre a-t-il été importé (impayé) ?"

"This shipping method is currently unavailable.","Ce mode de livraison n’est pas disponible actuellement."
"CP ChannelPilot - Shipping Method", "ChannelPilot - Mode de livraison"
"CP Enabled","Autorisé"
"CP Use for backend only","Utilisé seulement pour le Backend"
"CP Title","Titre"
"CP Method Name","Nom du mode"
"CP Price","Prix"
"CP Ship to Applicable Countries","Transports vers les pays autorisés"
"CP Show Method if Not Applicable","Montre les modes si pays non autorisés"
"CP Ship to Specific Countries","Transports vers pays particuliers"
"CP Displayed Error Message","Message d’erreur affiché"
"CP Sort Order","Trier les commandes"

"CP In which field you want to save the externalTransactionId?","Dans quel champ de données souhaitez vous enregistrer votre externalTransactionId?"
